project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
SocialChain Network,structured,Social and Content,Success,True,True,False,0,0,0.272,0.0,0.4764705882352942,0.2919540229885056,0.2712849162011173,0.0,0.0,0.31620111731843575,0.6,False,22.666666666666664,5,32.0,68.0,20.0,12.0
MusicRights Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.32857142857142874,0.7428571428571429,0.67590618336887,0.447409733124019,0.333733493397359,0.0,1.0,0.4957983193277311,0.8,True,11.666666666666657,7,50.0,50.0,30.0,15.0
StreamFlow Rewards,structured,Social and Content,Success,True,True,False,0,0,0.14000000000000012,0.8,0.4484848484848485,0.19428571428571462,0.1407821229050279,0.0,1.0,0.3463687150837989,0.2,False,106.25,5,35.0,65.0,20.0,15.0
NFTMarketX Exchange,structured,Marketplace,Success,True,False,False,1,0,0.48,0.8571428571428572,0.8253968253968254,0.6016806722689076,0.48,0.0,1.0,0.45,0.8,True,12.5,7,45.0,55.0,28.0,7.0
DataMarket Exchange,structured,Marketplace,Success,True,True,False,0,0,0.5275000000000001,0.875,0.6868556701030928,0.5861553784860558,0.5283519553072624,0.0,1.0,0.31620111731843575,0.2,False,110.86956521739131,8,32.0,68.0,20.0,12.0
FreelanceDAO Network,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.6136363636363635,0.5202702702702702,0.29255319148936176,0.19957983193277307,0.0,1.0,0.24369747899159663,0.8,True,12.121212121212121,4,25.0,75.0,25.0,0
RealEstate Token,structured,Marketplace,Success,True,False,True,2,0,0.33333333333333326,0.0,0.677304964539007,0.4837837837837835,0.33589743589743604,0.0,0.0,0.6475524475524476,0.0,False,58.75,6,65.0,35.0,25.0,35.0
SupplyChain Verify,structured,Marketplace,Success,True,True,False,0,0,0.42999999999999994,0.7222222222222221,0.6449999999999998,0.5291666666666666,0.42999999999999994,0.0,1.0,0.4,0.8,True,11.111111111111125,6,40.0,60.0,25.0,12.0
IoTLink Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.565,0.8333333333333333,0.8013565891472869,0.687227074235808,0.5681897881890869,0.0,1.0,0.21601907700939826,0.8,True,7.5,8,22.0,78.0,16.0,4.0
HealthChain Records,structured,Utility,Success,True,True,False,0,0,0.25,0.4642857142857142,0.4143835616438356,0.27941176470588225,0.25,0.0,1.0,0.29292929292929293,0.8,True,4.285714285714286,4,30.0,70.0,30.0,0
LearnToken Education,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.5961538461538463,0.5648148148148149,0.3529411764705883,0.2749999999999999,0.0,1.0,0.25,0.8,True,3.8461538461538463,4,25.0,75.0,25.0,0
EnergySwap Grid,structured,Marketplace,Success,True,True,False,0,0,0.48,0.8095238095238095,0.7310012062726177,0.6035096182837847,0.4836430971812635,0.0,1.0,0.24387902064330294,0.8,True,15.138888888888877,7,25.0,75.0,17.0,5.0
CarbonOffset Credits,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.5416666666666667,0.503968253968254,0.3125,0.1994949494949494,0.0,1.0,0.3939393939393939,0.8,True,5.0,4,40.0,60.0,30.0,10.0
GovStack Protocol,structured,Social and Content,Success,True,True,False,0,0,0.25,0.5833333333333333,0.5096153846153846,0.30147058823529416,0.25,0.0,1.0,0.4,0.8,True,8.333333333333332,4,40.0,60.0,30.0,0
ArtPlatform Collective,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.5225,0.7416666666666667,0.7084664536741214,0.6017857142857144,0.5286277602523659,0.0,1.0,0.24290220820189273,0.8,True,4.333333333333334,8,25.0,75.0,17.0,6.0
MovieFinance Token,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.5416666666666667,0.51,0.2803030303030303,0.19999999999999996,0.0,1.0,0.4,0.8,True,4.166666666666666,4,40.0,60.0,30.0,10.0
PredictionMarket Hub,structured,Social and Content,Success,True,True,False,0,0,0.2749999999999999,0.0,0.25,0.21666666666666656,0.2749999999999999,0.0,0.0,0.25,0.2,False,35.0,4,25.0,75.0,25.0,0
LiquidityPool Protocol,structured,DeFi,Success,True,True,False,0,0,0.5049999999999999,0.8074324324324325,0.6871761658031088,0.5446750902527075,0.5049999999999999,0.0,1.0,0.33,1.0,True,30.405405405405407,8,33.0,67.0,18.0,15.0
TokenBridge Enterprise,structured,Infrastructure,Success,True,True,False,0,0,0.28,0.5714285714285714,0.5386138613861386,0.4247787610619469,0.2839328537170265,0.0,1.0,0.2949640287769784,1.0,True,3.0612244897959062,5,30.0,70.0,20.0,0
DeFiCompose Suite,structured,Utility,Success,True,True,False,0,0,0.46571428571428575,0.7692307692307694,0.711309523809524,0.5730848861283644,0.4755295178008112,0.0,1.0,0.3438485804416404,0.8,True,10.76923076923077,7,35.0,65.0,17.0,15.0
RiskPool Insurance,structured,Utility,Success,True,True,False,0,0,0.18399999999999994,0.8,0.4679245283018869,0.2613333333333334,0.18585858585858595,0.0,1.0,0.29292929292929293,0.2,False,112.00000000000001,5,30.0,70.0,18.0,12.0
SwapRouter Advanced,structured,Marketplace,Success,True,True,False,0,0,0.3833333333333333,0.0,0.5,0.3960784313725485,0.38541666666666674,0.0,0.0,0.2932692307692307,0.2,False,30.0,6,30.0,70.0,20.0,5.0
StakingDerive Finance,structured,DeFi,Success,True,True,False,0,0,0.26,0.5333333333333334,0.5032258064516129,0.3771428571428572,0.2655462184873949,0.0,1.0,0.24369747899159663,1.0,True,3.3333333333333335,5,25.0,75.0,15.0,10.0
YieldPerp Futures,structured,DeFi,Success,True,True,False,0,0,0.5700000000000001,0.7361111111111112,0.7195945945945945,0.6269685039370079,0.5710893854748604,0.0,1.0,0.2759776536312849,1.0,True,2.7777777777777777,8,28.0,72.0,20.0,0.0
VoteDAO Governance,structured,Social and Content,Success,True,True,False,0,0,0.21999999999999997,0.5142857142857142,0.4677966101694915,0.32463768115942027,0.22521008403361353,0.0,1.0,0.2941176470588235,0.8,True,5.357142857142857,5,30.0,70.0,15.0,15.0
AgriChain Supply,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.8,0.47676767676767673,0.3391812865497077,0.23030303030303045,0.0,1.0,0.2727272727272727,0.2,False,125.0,5,28.0,72.0,18.0,10.0
PrivacyVault Network,structured,Social and Content,Success,True,True,False,0,0,0.4575,0.0,0.6151960784313726,0.5013888888888887,0.4575,0.0,0.0,0.3,0.6,False,25.5,8,30.0,70.0,15.0,12.0
TutorChain Education,structured,Utility,Success,True,True,False,0,0,0.16000000000000014,0.0,0.3920792079207924,0.28449197860962583,0.16806722689075637,0.0,0.0,0.29411764705882354,0.2,False,42.08333333333333,5,30.0,70.0,15.0,15.0
SolarGrid Energy,structured,Utility,Success,True,True,False,0,0,0.18399999999999994,0.8,0.5112426035502964,0.2904347826086957,0.18585858585858595,0.0,1.0,0.29292929292929293,0.4,False,87.77777777777776,5,30.0,70.0,18.0,12.0
MedVault Health,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.5230769230769232,0.47272727272727266,0.29748743718592974,0.2011173184357542,0.0,1.0,0.3463687150837989,0.8,True,5.769230769230769,5,35.0,65.0,20.0,15.0
FanToken Sports,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.17200000000000015,0.6125,0.40674157303370784,0.17228464419475653,0.17200000000000015,0.0,1.0,0.33,0.8,True,39.0625,5,33.0,67.0,18.0,15.0
