project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
SupplyChain Verify,structured,Marketplace,Success,True,True,False,0,0,0.22999999999999998,0.5833333333333333,0.4850000000000003,0.3374999999999999,0.22999999999999998,0.0,1.0,0.28,0.8,True,11.111111111111125,4,28.0,72.0,28.0,0
IoTLink Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.31000000000000005,0.5064102564102564,0.5064102564102564,0.3984375,0.3103689211850198,0.0,1.0,0.2152040245947457,0.8,True,0.0,4,22.0,78.0,22.0,0
HealthChain Records,structured,Utility,Success,True,True,False,0,0,0.25,0.5833333333333333,0.29316546762589946,0.1918604651162792,0.25,0.0,1.0,0.29292929292929293,0.6,False,54.44444444444443,4,30.0,70.0,30.0,0
LearnToken Education,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.5961538461538463,0.5648148148148149,0.42021276595744683,0.27733006306937646,0.0,1.0,0.2452697967764541,0.8,True,3.8461538461538463,4,25.0,75.0,25.0,0
EnergySwap Grid,structured,Marketplace,Success,True,True,False,0,0,0.30000000000000004,0.5,0.5,0.41666666666666674,0.3052884615384617,0.0,1.0,0.19230769230769232,0.8,True,0.0,4,20.0,80.0,20.0,0
CarbonOffset Credits,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.75,0.45158102766798436,0.2147058823529413,0.1994949494949494,0.0,1.0,0.3939393939393939,0.6,False,68.66666666666666,4,40.0,60.0,30.0,10.0
GovStack Protocol,structured,Social and Content,Success,True,True,False,0,0,0.25,0.5833333333333333,0.5096153846153846,0.30147058823529416,0.25,0.0,1.0,0.4,0.8,True,8.333333333333332,4,40.0,60.0,30.0,0
ArtPlatform Collective,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.2749999999999999,0.4833333333333334,0.4833333333333334,0.3600000000000001,0.2751748251748254,0.0,1.0,0.2447552447552448,0.8,True,0.0,4,25.0,75.0,25.0,0
MovieFinance Token,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.5416666666666667,0.5161290322580645,0.3355263157894737,0.19957983193277307,0.0,1.0,0.39495798319327735,0.8,True,3.3333333333333335,4,40.0,60.0,30.0,10.0
PredictionMarket Hub,structured,Social and Content,Success,True,True,False,0,0,0.2749999999999999,0.75,0.34615384615384626,0.2616279069767442,0.2749999999999999,0.0,1.0,0.25,0.2,False,116.66666666666667,4,25.0,75.0,25.0,0
